大分類,中分類,No.,研修項目,操作手順・内容,備考欄
登録,レジ本体,53,税率変更,【レジ操作】[税率変更] → [軽減税率8%] or [標準税率10%] → [はい] → 商品登録 ※店内飲食の場合、税率を10%に変更,クリアor解除で税率変更を解除できる。画面に変更後の税率が表示される
登録,レジ本体,54,10万円以上の登録(DPT・クラス),【レジ操作】DPT番号 or クラス番号 → [部門] or [クラス] → [桁解除] → ○○円 → [金額],-
登録,レジ本体,55,リピート,【レジ操作】商品登録 → [リピート],-
登録,レジ本体,56,掛算登録(スキャン・JAN),【レジ操作】個数 → [×] → 商品登録,スキャン・JAN・DPT・クラスすべて同様の操作
登録,レジ本体,57,100個以上の場合,【レジ操作】[桁解除] → 個数 → [×] → 商品登録,スキャン・JAN・DPT・クラスすべて同様の操作
登録,レジ本体,58,値引き,【レジ操作】商品登録 → [フリー値引100円],-
登録,レジ本体,59,999円引き以下(金額指定),【レジ操作】商品登録 → ○○円 → [フリー値引100円],-
登録,レジ本体,60,"1,000円引き以上",【レジ操作】商品登録 → [桁解除] → ○○円 → [フリー値引100円],-
登録,レジ本体,61,割引(10%・30%・50%),【レジ操作】商品登録 → [フリー割引(10%)] or [割引30%] or [割引50%],【まとめ表示】をタッチすると割引率が表示。確認後【まとめ表示】をタッチ
登録,レジ本体,62,上記以外の割引,【レジ操作】商品登録 → ○○% → [フリー割引(10%)],-
登録,レジ本体,63,円値引(タッチパネル),【レジ操作】対象商品タッチ → ○○円 → [ページ切替] → [円値引],-
登録,レジ本体,64,%割引(タッチパネル),【レジ操作】対象商品タッチ → ○○% → [ページ切替] → [%割引],-
登録,レジ本体,65,自動値引,【レジ操作】バーコードをスキャンすると自動で値引・割引される,JAN登録時はバーコード下の数字を下2桁まで入力
登録,レジ本体,-,確認,【レジ操作】[確認] → 商品登録 → [商品登録] or [印字して終了] or [終了] ※印字して終了をタッチする バーコードが印刷される,商品登録中は【印字して終了】は表示されない
取消,レジ本体,66,取消,【レジ操作】商品登録 → [取消],直前の商品の場合のみ
取消,レジ本体,67,指定取消(スキャン),【レジ操作】[指定取消] → 対象商品登録 → [指定取消],-
取消,レジ本体,68,画面訂正,【レジ操作】対象商品タッチ → [画面訂正],掛算登録の場合は、タッチした行の商品の個数が全て取り消される
取消,レジ本体,69,価格の強制入力,【レジ操作】正しい売価(本体価格) → [金額] → 商品登録 ※雑誌登録,画面・レシートの左側に「！」が表示
取消,レジ本体,70,一括取消,【レジ操作】[一括取消] → [はい] or [いいえ],一括取消レシートは赤伝に添付し、ドロアーに保管する
会計,-,71,登録内容の確認,【レジ操作】[明細画面] → [△] or [▽],-
会計,-,72,小計,【レジ操作】商品登録終了 → [小計],小計後でも追加登録可能(再度【小計】を押す)
会計,-,73,預/現金,【レジ操作】預り金額 → [預/現金],-
会計,-,74,万券,【レジ操作】[万券] ※ドロアー内のレイアウト,1万円札を預かった時のみ
会計,-,75,紙幣の取り方と数え方,5千円→千円の順に手に取り、表裏3回数える,-
会計,-,76,小銭の取り方,500円→1円の順に手に取り数える,-
会計,-,74(重複),預かり金入力ミス(会計前),【レジ操作】[取消] or 現金タッチ → [画面訂正],お買上金額より少ない金額で入力し【預/現金】キーを押した場合
会計,-,75(重複),預かり金入力ミス(会計後),電卓で正しいお釣銭を計算する,レシート裏に正しい金額を記入し、100番表に正しい預かり金とお釣銭を記入
会計,-,76(重複),スキャナー切替,【レジ操作】[小計] → [転送] → [呼出] → [スキャナー切替] → [はい] → 商品登録,固定式スキャナーでスキャンのみ行える PLU商品・値引きは、レジ本体で行う
会計,-,77,スキャナー戻し,【レジ操作】[スキャナー戻し] → [小計],-
金券,-,78,金券説明,使用できる金券の種類・お釣り・期限,別紙資料【金券一覧】参照
金券,-,79,金券(額面以上の合計),【レジ操作】[小計] → [金券] → [金券選択] → [OK] → 金券金額 → [金額] → [金券] / [金券選択] → [戻る] → 会計操作,会計後、金券を処理→レジNo.・日付・金額・時間記入 切り取り線カット・ホチキス留め
金券,-,80,金券(複数枚掛算入力),【レジ操作】[小計] → [金券] → [金券選択] → [OK] → 枚数 → [×] → 金券金額 → [金額] → [金券] → [金券選択] → [戻る] → 会計操作(現金orカード),会計後、金券を処理→レジNo.・日付・金額・時間記入 切り取り線カット・ホチキス留め
金券,-,81,金券(額面以下の合計),【レジ操作】[金券] → [金券選択] → [OK] → 買上金額 → [金額],お釣りは出ない
金券,-,82,小計戻し,【レジ操作】金券入力 → 追加登録したい場合 → [小計戻し] → [はい] → 商品登録 ※お支払い金額の表示内容注意,合計より預り金を少なく打ち込んでしまった場合に、預り金を訂正する場合にも使用可能
カード,-,83,カード説明,-,店舗で使用できるカードの種類 カード一覧の見方
カード,-,84,J-Mupsの説明,-,別紙資料【クレジットカードについて】参照
カード,-,85,J-Mupsレシート交換,レシートの向き,-
カード,-,86,会計操作(レジ本体),【レジ操作】商品登録 → [小計] → [J-MUPS]【J-Mups端末操作】端末操作(J-Mups),-
J-Mups端末操作(売上),磁気カード,87,一括,【J-Mups端末操作】[クレジット] → カードスリット → [一括] → [確認] → レシート出力 ※レシート出力順(J-Mups側: カード会社控・お客様控・加盟店控→レジレシート),"10,001円以上のお会計はサイン必須"
J-Mups端末操作(売上),磁気カード,88,分割,【J-Mups端末操作】[クレジット] → カードスリット → [分割] → 支払回数 → [次へ] → [確認] → レシート出力,-
J-Mups端末操作(売上),磁気カード,89,ボーナス,【J-Mups端末操作】[クレジット] → カードスリット → [ボーナス] → [確認] → レシート出力,-
J-Mups端末操作(売上),磁気カード,90,ボーナス(オリコ・ライフ),【J-Mups端末操作】[クレジット] → カードスリット → [ボーナス] → 1(回) → [次へ] → 支払い月 → [次へ] → 夏:7月・8月 冬:12月・1月 → [確認] → レシート出力,-
J-Mups端末操作(売上),磁気カード,91,リボ,【J-Mups端末操作】[クレジット] → カードスリット → [リボ] → [確認] → レシート出力,-
J-Mups端末操作(売上),ICカード,92,一括,【J-Mups端末操作】[クレジット] → ICカード挿入 → [一括] → ※暗証番号入力 → [確認] → レシート出力,"※10,001円以上のお会計の場合は暗証番号が必要 不明な場合はお客様に【確定】を押して頂く→サイン必"
J-Mups端末操作(売上),ICカード,93,分割,【J-Mups端末操作】[クレジット] → ICカード挿入 → [分割] → 支払回数 → [次へ] → ※暗証番号入力 → [確認] → レシート出力,暗証番号が不明な場合、お客様に【確定】を押して頂く→サイン必須
J-Mups端末操作(売上),ICカード,94,ボーナス,【J-Mups端末操作】[クレジット] → ICカード挿入 → [ボーナス] → ※暗証番号入力 → [確認] → レシート出力,-
J-Mups端末操作(売上),ICカード,95,ボーナス(オリコ・ライフ),【J-Mups端末操作】[クレジット] → ICカード挿入 → [ボーナス] → 1(回) → [次へ] → 支払い月 → [次へ] → 夏:7月・8月 冬:12月・1月 ※暗証番号入力 → [確認] → レシート出力,-
J-Mups端末操作(売上),ICカード,96,リボ,【J-Mups端末操作】[クレジット] → ICカード挿入 → [リボ] → ※暗証番号入力 → [確認] → レシート出力,-
J-Mups端末操作(売上),ICカード,97,ICチップ読み取り不可,【レジ操作】磁気カード操作(スリット)は出来ないので、インプリンター・他のクレジットカード・現金での会計となる,-
カード併用,-,98,金券併用,【レジ操作】商品登録 → [小計] → 金券操作 → [J-MUPS]【J-Mups端末操作】端末操作(J-Mups),金券併用時は金券操作を先に行う
カード併用,-,99,現金併用,【レジ操作】商品登録 → [小計] → カード支払金額 → [J-MUPS]【J-Mups端末操作】端末操作(J-Mups)【レジ操作】現金会計操作,現金併用時はカード操作を先に行う
PayPay,-,100,PayPay説明,お客様にQRコードをスキャンして頂く会計方法のみ対応可,QRコードは店舗ごとに異なる 店舗で1つのQRコード
PayPay,-,101,商品登録,【レジ操作】商品登録 → [小計],現金・金券・カード併用不可
PayPay,-,102,PayPay決済操作(お客様),【お客様スマホ操作】PayPayアプリ起動 → 会計用のQRコードスキャン → お客様にお支払額を入力して頂く → [次へ]をお客様が押下 → お支払額がレジと一致しているか確認 → [支払う]をお客様が押下 → 決済音と決済完了画面を確認,お支払額は合計金額(税込)を入力して頂く スマホ画面の決済金額がレジと一致していることを必ず確認
PayPay,-,103,会計操作(レジ本体),【レジ操作】合計金額入力 → [PayPay],-
PayPay,-,104,金券併用,【レジ操作】商品登録 → [小計] → 金券操作 → 金券金額を差し引いた金額を入力 → [PayPay],オリコショッピングチケット・お買物券のみ使用可能
領収証,共通,105,領収証発行時の作業,レシート→領収証発行済印を押印する 領収証→発行者印を押印する/カード支払い時はカード販売分印を押印する,押印などの作業は金銭授受を終わらせてから行う
領収証,固定スキャナー側,106,領収証発行,【レジ操作】[明細画面へ] → [領収証発行] ※ディスプレイに【領収証】表示,レシートの後、自動出力 ※1点登録後に使用可能
領収証,レジ本体,107,レシートスキャン,【レジ操作】[領収証発行] → レシートスキャン ※スキャンできない場合…レジNo.3桁+レシートNo.4桁→日付6桁入力,会計から30日間有効
領収証,レジ本体,108,会計直後,【レジ操作】[領収証発行] → [金額],-
仮締,-,109,仮締め(固定式スキャナー) / 仮締め(レジ本体),【レジ操作】商品登録 → [仮締] / 商品登録 → [仮締],本体・固定式スキャナー各1件ずつ行える 責任者No.は抜けない ディスプレイに【仮締中】と表示される
