大分類,中分類,No.,研修項目,操作手順・内容,備考欄
伝票,-,140,明細書発行,【レジ操作】[ページ切替] → [明細書] → レシートスキャン ※30日前迄発行可能,レシートのバーコードをスキャンできない場合はレジNo.3桁+レシートNo.4桁+日付6桁を入力する
伝票,-,141,掛売,【レジ操作】[小計] → 合計金額入力 → [掛売] ※掛売伝票を起伝後、レジ操作する,明細書発行の場合は明細書を2枚発行する
伝票,-,142,インプリンター(オフラインカード),お客様のクレジットカードが決済できない場合やカード障害発生時などに インプリンター伝票起伝後、レジ操作する【レジ操作】[小計] → 合計金額入力 → [オフライン],資料:
点検,-,143,Xレシート(黄番ON),【レジ操作】[会計点検] → Xレシート出力 ※休止モードの場合は、ダイナキー【R】タッチ後に同様の操作,-
点検,-,144,Xレシート(黄番OFF),【レジ操作】[ページ切替] → [会計点検] → Xレシート出力 ※休止モードの場合は、ダイナキー【R】タッチ後に同様の操作,-
ジャーナル,-,148,ジャーナル表示,【レジ操作】[ジャーナル] → [金額] → [ページ切替] → [前レシート]or[後レシート] → [クリア] → スクロール → [▲]or[▼],-
ジャーナル,-,149,他レジジャーナル,【レジ操作】[他レジジャーナル] → レシートスキャン → [クリア] スクロール → [▲]or[▼],-
レジ締め,-,145,レジキー【有】,【レジ操作】[替] → 責任者No. → [金額] → レジキーを【S】 → 23 → [金額] → Xレシート出力【J-Mups端末操作】[集計] → [クレジット] → [中間計] → [確認] → [確認] → 中間計票出力【レジ操作】99 → [金額] → 1 → [金額] → J-Mups日計票出力 → Zレシート出力【レジ操作】レジキーを【L】 ※カード売上がない場合は中間計票は出力されない,金券・赤伝の記入(返金レシート明細書の確認)を行う Xレシートのカードの金額と中間計票の合計が一致しているか確認しホチキスで留める カード会社控・加盟店控は専用袋にしまう ※枚数カウント・ホチキス留めは不要 日計票(6枚)・Zは出てきた順に重ねてホチキスで留める
レジ締め,-,146,レジキー【無】,【レジ操作】[替] → 責任者No. → [金額] → ドロアーを開ける → [会計点検] → Xレシート出力【J-Mups端末操作】[集計] → [クレジット] → [中間計] → [確認] → [確認] → 中間計票出力 ※カード売上がない場合は中間計票は出力されない【レジ操作】責任者No.が入っていない状態 → [S] → 責任者No. → [責No.] → 99 → [金額] → 1 → [金額] → J-Mups日計票出力 → Zレシート出力 → レジキー【L】,金券・赤伝の記入(返金レシート明細書の確認)を行う Xレシートのカードの金額と中間計票の合計が一致しているか確認しホチキスで留める カード会社控・加盟店控は専用袋にしまう ※枚数カウント・ホチキス留めは不要 日計票(6枚)・Zは出てきた順に重ねてホチキスで留める
レジ締め,-,147,日計処理エラー,【J-Mups端末操作】[集計] → [全取引] → [日計] → [確認] → J-Mups日計票出力 ※J-Mups日計票出力時に、紙切れ・紙づまり等でエラーが発生した場合は、J-Mups端末で日計票を出力する ※J-Mups端末画面にエラーが表示され、Zレシート1枚目(アクション#23)に「J-Mups日計エラー発生 日計処理でエラーが発生しました。J-Mups端末より日計処理を実施して下さい。」とエラーメッセージが印字される,途中までしか印字されていない日計票は破棄し J-Mups端末操作で出力した日計票を釣銭バックに入れる
レジ締め,-,150,トレーニングモード開始・終了,【レジ操作】[ページ切替] → [練習モード] トレーニングモード時のディスプレイの色⇒緑 ※J-Mupsもトレーニングモードになる,責任者No.が入っていない状態で行う
その他,-,1,収入印紙,レシート・領収証に印紙を貼る枠が印字される,本体価格5万円以上(カード以外)
その他,-,2,ジャーナル記入表,預かり金打ち間違え・千円札×5枚等,-
その他,-,3,お客様との両替,"お客様との両替は1,000円まで・ジャーナル記入表に明細を記入する",-
その他,-,4,フロアマイク,-,資料:
その他,-,5,電話マイク,-,-
その他,-,6,買物ルール,従業員の休憩時間中の買い物は、レシートに押印し、袋または商品にミリオンで添付する,心得帳参照
その他,-,7,符丁,-,心得帳参照
その他,-,8,カゴの入れ方,-,-
その他,-,9,取り扱いに気をつける商品,お造り・お寿司・お弁当・いちご・パンなど,-
その他,-,10,お渡しする付属品がある商品,お弁当・お惣菜→お箸 アイス・デザート→スプーン など,-
その他,-,11,ミリオンテープ,ミリオンテープの貼り方と保管方法,-
その他,-,12,防犯タグの解除方法,シールタイプ,-
その他,-,13,マイバック持参の場合の対応,-,-
その他,-,14,有料レジ袋,種類・金額・登録方法,-
その他,-,15,50番,両替表の記入方法・受け渡しの流れ,資料:
その他,-,16,100番,100番作成方法・受け渡しの流れ,資料:
店舗内容,-,17〜23,(空欄),-,-
